Score,Serve Team,Set Score,Game Score
24-20,UW,12,Opponent2
24-21,UA,12,Opponent2
25-21,UA,12,Opponent2
1-0,UA,22,Opponent2
1-1,UW,22,Opponent2
2-1,UA,22,Opponent2
2-2,UW,22,Opponent2
2-3,UA,22,Opponent2
3-3,UA,22,Opponent2
3-4,UW,22,Opponent2
4-4,UA,22,Opponent2
5-4,UW,22,Opponent2
6-4,UW,22,Opponent2
7-4,UW,22,Opponent2
8-4,UW,22,Opponent2
8-5,UW,22,Opponent2
8-6,UA,22,Opponent2
9-6,UA,22,Opponent2
9-7,UW,22,Opponent2
10-7,UA,22,Opponent2
10-8,UW,22,Opponent2
10-9,UA,22,Opponent2
10-10,UA,22,Opponent2
11-10,UA,22,Opponent2
12-10,UW,22,Opponent2
12-11,UW,22,Opponent2
13-11,UA,22,Opponent2
13-12,UW,22,Opponent2
14-12,UA,22,Opponent2
14-13,UW,22,Opponent2
15-13,UA,22,Opponent2
1-0,UW,0,Opponent2
1-1,OSU,0,Opponent2
2-1,UW,0,Opponent2
2-2,OSU,0,Opponent2
2-3,UW,0,Opponent2
3-3,UW,0,Opponent2
3-4,OSU,0,Opponent2
4-4,UW,0,Opponent2
4-5,OSU,0,Opponent2
4-6,UW,0,Opponent2
4-7,UW,0,Opponent2
4-8,UW,0,Opponent2
4-9,UW,0,Opponent2
4-10,UW,0,Opponent2
4-11,UW,0,Opponent2
5-11,UW,0,Opponent2
6-11,OSU,0,Opponent2
6-12,OSU,0,Opponent2
6-13,UW,0,Opponent2
7-13,UW,0,Opponent2
7-14,OSU,0,Opponent2
8-14,UW,0,Opponent2
9-14,OSU,0,Opponent2
10-14,OSU,0,Opponent2
11-14,OSU,0,Opponent2
12-14,OSU,0,Opponent2
13-14,OSU,0,Opponent2
14-14,OSU,0,Opponent2
14-15,OSU,0,Opponent2
14-16,UW,0,Opponent2
14-17,UW,0,Opponent2
14-18,UW,0,Opponent2
14-19,UW,0,Opponent2
15-19,UW,0,Opponent2
16-19,OSU,0,Opponent2
16-20,OSU,0,Opponent2
16-21,UW,0,Opponent2
17-21,UW,0,Opponent2
17-22,OSU,0,Opponent2
17-23,UW,0,Opponent2
17-24,UW,0,Opponent2
17-25,UW,0,Opponent2
0-1,OSU,1,Opponent2
1-1,UW,1,Opponent2
1-2,OSU,1,Opponent2
1-3,UW,1,Opponent2
1-4,UW,1,Opponent2
1-5,UW,1,Opponent2
2-5,UW,1,Opponent2
2-6,OSU,1,Opponent2
3-6,UW,1,Opponent2
3-7,OSU,1,Opponent2
4-7,UW,1,Opponent2
5-7,OSU,1,Opponent2
5-8,OSU,1,Opponent2
6-8,UW,1,Opponent2
7-8,OSU,1,Opponent2
8-8,OSU,1,Opponent2
8-9,OSU,1,Opponent2
8-10,UW,1,Opponent2
8-11,UW,1,Opponent2
9-11,UW,1,Opponent2
9-12,OSU,1,Opponent2
9-13,UW,1,Opponent2
9-14,UW,1,Opponent2
9-15,UW,1,Opponent2
9-16,UW,1,Opponent2
9-17,UW,1,Opponent2
9-18,UW,1,Opponent2
9-19,UW,1,Opponent2
9-20,UW,1,Opponent2
9-21,UW,1,Opponent2
9-22,UW,1,Opponent2
10-22,UW,1,Opponent2
10-23,OSU,1,Opponent2
10-24,UW,1,Opponent2
10-25,UW,1,Opponent2
0-1,UW,2,Opponent2
1-1,UW,2,Opponent2
2-1,OSU,2,Opponent2
3-1,OSU,2,Opponent2
